instance_name,n,m,ratio,generator_seed,solver_seed,algorithm_name,best_satisfied_clauses,total_clauses,satisfaction_rate,unsatisfied_clauses,runtime_seconds,iterations_used,fully_satisfied,iteration_of_best
3sat_n400_r10_i00.json,400,4000,10.0,410008242,410008242,Simulated Annealing (Baseline),3831,4000,0.95775,169,14.905266399960965,3127,False,2966
3sat_n400_r10_i00.json,400,4000,10.0,410008242,410008259,Simulated Annealing (Enhanced),3859,4000,0.96475,141,8.119656099937856,6267,False,4059
3sat_n500_r3_i00.json,500,1500,3.0,503003642,503003642,Simulated Annealing (Baseline),1489,1500,0.9926666666666667,11,10.368598600034602,3127,False,3023
3sat_n500_r3_i00.json,500,1500,3.0,503003642,503003659,Simulated Annealing (Enhanced),1500,1500,1.0,0,2.3247953000245616,6806,True,6806
3sat_n500_r4.3_i00.json,500,2150,4.3,504304552,504304552,Simulated Annealing (Baseline),2118,2150,0.9851162790697674,32,15.095096800010651,3127,False,3069
3sat_n500_r4.3_i00.json,500,2150,4.3,504304552,504304569,Simulated Annealing (Enhanced),2138,2150,0.9944186046511628,12,5.491300100111403,7658,False,4246
3sat_n500_r6_i00.json,500,3000,6.0,506005742,506005742,Simulated Annealing (Baseline),2914,3000,0.9713333333333334,86,21.937440900015645,3127,False,3084
3sat_n500_r6_i00.json,500,3000,6.0,506005742,506005759,Simulated Annealing (Enhanced),2949,3000,0.983,51,10.498318099998869,7700,False,5645
3sat_n500_r8_i00.json,500,4000,8.0,508007142,508007142,Simulated Annealing (Baseline),3848,4000,0.962,152,30.020295900059864,3127,False,2992
3sat_n500_r8_i00.json,500,4000,8.0,508007142,508007159,Simulated Annealing (Enhanced),3894,4000,0.9735,106,11.912767800036818,6478,False,5504
3sat_n500_r10_i00.json,500,5000,10.0,510008542,510008542,Simulated Annealing (Baseline),4782,5000,0.9564,218,19.910483099985868,3127,False,3095
3sat_n500_r10_i00.json,500,5000,10.0,510008542,510008559,Simulated Annealing (Enhanced),4837,5000,0.9674,163,11.382451999932528,6290,False,703
