mean_satisfaction_rate,mean_runtime_seconds,full_satisfaction_success_rate,mean_unsatisfied_clauses,run_count,full_satisfaction_count,worst_runtime_seconds,worst_satisfaction_rate,algorithm_name,n,ratio
0.9848837209302326,6.260839199996553,0.0,26.0,1,0,6.260839199996553,0.9848837209302326,Simulated Annealing (Baseline),400,4.3
0.9766666666666667,8.522449199925177,0.0,56.0,1,0,8.522449199925177,0.9766666666666667,Simulated Annealing (Baseline),400,6.0
0.9665625,11.235418200027198,0.0,107.0,1,0,11.235418200027198,0.9665625,Simulated Annealing (Baseline),400,8.0
0.95775,14.905266399960965,0.0,169.0,1,0,14.905266399960965,0.95775,Simulated Annealing (Baseline),400,10.0
0.9926666666666667,10.368598600034602,0.0,11.0,1,0,10.368598600034602,0.9926666666666667,Simulated Annealing (Baseline),500,3.0
0.9851162790697674,15.095096800010651,0.0,32.0,1,0,15.095096800010651,0.9851162790697674,Simulated Annealing (Baseline),500,4.3
0.9713333333333334,21.937440900015645,0.0,86.0,1,0,21.937440900015645,0.9713333333333334,Simulated Annealing (Baseline),500,6.0
0.962,30.020295900059864,0.0,152.0,1,0,30.020295900059864,0.962,Simulated Annealing (Baseline),500,8.0
0.9564,19.910483099985868,0.0,218.0,1,0,19.910483099985868,0.9564,Simulated Annealing (Baseline),500,10.0
0.9885714285714285,10.966618799953721,0.0,24.0,1,0,10.966618799953721,0.9885714285714285,Simulated Annealing (Baseline),700,3.0
0.9787375415282392,14.039016800001264,0.0,64.0,1,0,14.039016800001264,0.9787375415282392,Simulated Annealing (Baseline),700,4.3
0.9673809523809523,18.90770350000821,0.0,137.0,1,0,18.90770350000821,0.9673809523809523,Simulated Annealing (Baseline),700,6.0
0.96125,27.340888599981554,0.0,217.0,1,0,27.340888599981554,0.96125,Simulated Annealing (Baseline),700,8.0
0.9471428571428572,26.395296999951825,0.0,370.0,1,0,26.395296999951825,0.9471428571428572,Simulated Annealing (Baseline),700,10.0
0.9816666666666667,10.064665799960494,0.0,55.0,1,0,10.064665799960494,0.9816666666666667,Simulated Annealing (Baseline),1000,3.0
0.9704651162790697,15.718811099999584,0.0,127.0,1,0,15.718811099999584,0.9704651162790697,Simulated Annealing (Baseline),1000,4.3
0.9631666666666666,20.428571399999782,0.0,221.0,1,0,20.428571399999782,0.9631666666666666,Simulated Annealing (Baseline),1000,6.0
0.950625,29.683941600029357,0.0,395.0,1,0,29.683941600029357,0.950625,Simulated Annealing (Baseline),1000,8.0
0.9462,35.612300899927504,0.0,538.0,1,0,35.612300899927504,0.9462,Simulated Annealing (Baseline),1000,10.0
1.0,0.016039000009186566,1.0,0.0,1,1,0.016039000009186566,1.0,Simulated Annealing (Enhanced),100,3.0
0.9976744186046511,0.38558340002782643,0.0,1.0,1,0,0.38558340002782643,0.9976744186046511,Simulated Annealing (Enhanced),100,4.3
0.9816666666666667,0.7211315999738872,0.0,11.0,1,0,0.7211315999738872,0.9816666666666667,Simulated Annealing (Enhanced),100,6.0
